epoch,binary_accuracy,dice_coef,iou,loss,val_binary_accuracy,val_dice_coef,val_iou,val_loss
0,0.5862798094749451,0.44360610842704773,0.2851795554161072,-0.44360610842704773,0.5713644027709961,0.4490770101547241,0.2898279130458832,-0.4490770101547241
1,0.6411163806915283,0.4532461166381836,0.29321369528770447,-0.4532461166381836,0.700092613697052,0.47025468945503235,0.3076235055923462,-0.4702548086643219
2,0.7180446982383728,0.48602405190467834,0.3211466670036316,-0.48602405190467834,0.7199867367744446,0.4881812632083893,0.32297006249427795,-0.4881814420223236
3,0.7181537747383118,0.4927981197834015,0.3270467519760132,-0.4927981197834015,0.7100692987442017,0.49153465032577515,0.32602936029434204,-0.491534560918808
4,0.7141386270523071,0.4940008521080017,0.32812362909317017,-0.4940008521080017,0.7030735611915588,0.4929724931716919,0.32723674178123474,-0.4929724335670471
5,0.7147812843322754,0.4947759211063385,0.32878050208091736,-0.4947759211063385,0.7133660912513733,0.49200814962387085,0.32641932368278503,-0.4920082986354828
6,0.7159991264343262,0.4962645173072815,0.3301056921482086,-0.4962645173072815,0.7015841007232666,0.4943948984146118,0.3285062909126282,-0.4943949282169342
7,0.715235710144043,0.4965200126171112,0.33034855127334595,-0.4965200126171112,0.7355743646621704,0.49162694811820984,0.3260082006454468,-0.49162691831588745
8,0.7184838652610779,0.49822551012039185,0.33182260394096375,-0.49822551012039185,0.7281104922294617,0.49450981616973877,0.32861900329589844,-0.49450981616973877
9,0.7216624617576599,0.4997568428516388,0.33317726850509644,-0.4997568428516388,0.7195364832878113,0.49913814663887024,0.3327902555465698,-0.49913808703422546
10,0.7259151935577393,0.5008172988891602,0.3341422975063324,-0.5008172988891602,0.7265539169311523,0.5013593435287476,0.3346919119358063,-0.5013592839241028
11,0.7329051494598389,0.5037388205528259,0.33673641085624695,-0.5037388205528259,0.745578408241272,0.500471293926239,0.3338589072227478,-0.5004713535308838
12,0.7365920543670654,0.5050487518310547,0.3379323482513428,-0.5050487518310547,0.7157590985298157,0.5038776993751526,0.3369141221046448,-0.5038776993751526
13,0.7422436475753784,0.507938027381897,0.3405192792415619,-0.507938027381897,0.7189719080924988,0.5050725936889648,0.337963730096817,-0.5050726532936096
14,0.7382747530937195,0.5073500871658325,0.34000492095947266,-0.5073500871658325,0.6923186182975769,0.5003349781036377,0.33378133177757263,-0.5003349781036377
15,0.747005045413971,0.5110988020896912,0.34333881735801697,-0.5110988020896912,0.7510219812393188,0.5118391513824463,0.3440532684326172,-0.5118391513824463
16,0.7532767057418823,0.5147380828857422,0.34664368629455566,-0.5147380828857422,0.771307110786438,0.5106073021888733,0.3429899513721466,-0.5106071829795837
17,0.7447111010551453,0.5112292766571045,0.34350118041038513,-0.5112292766571045,0.7035845518112183,0.5047027468681335,0.3377023935317993,-0.5047028064727783
0,0.42871755361557007,0.48374849557876587,0.3197212219238281,-0.48374849557876587,0.4128151834011078,0.5609850287437439,0.39081427454948425,-0.5609851479530334
1,0.436808705329895,0.6016624569892883,0.4307694435119629,-0.6016624569892883,0.5295274257659912,0.6217061281204224,0.4519302546977997,-0.6217062473297119
2,0.6845093965530396,0.6642727851867676,0.4984244108200073,-0.6642727851867676,0.716762125492096,0.691582441329956,0.5293372273445129,-0.6915823817253113
3,0.7257073521614075,0.6975556015968323,0.5358699560165405,-0.6975556015968323,0.7301998734474182,0.6933901309967041,0.5311427116394043,-0.6933901906013489
4,0.7274689674377441,0.6992908120155334,0.538007378578186,-0.6992908120155334,0.7134355306625366,0.6949681639671326,0.5329903364181519,-0.6949682235717773
5,0.7289429903030396,0.7007007598876953,0.5397241115570068,-0.7007007598876953,0.7332295179367065,0.6953884959220886,0.5334141254425049,-0.6953885555267334
6,0.730679988861084,0.7017601132392883,0.5409747958183289,-0.7017601132392883,0.728265106678009,0.6971731185913086,0.5356782078742981,-0.6971731781959534
7,0.729806661605835,0.702488362789154,0.5417648553848267,-0.702488362789154,0.7248368859291077,0.7003298401832581,0.5392407178878784,-0.7003298401832581
8,0.7329043745994568,0.704451322555542,0.5440753698348999,-0.704451322555542,0.7349945306777954,0.7008745670318604,0.5400465726852417,-0.7008746266365051
9,0.7348949313163757,0.7064332365989685,0.5464701056480408,-0.7064332365989685,0.7244730591773987,0.7037285566329956,0.5434424877166748,-0.7037286758422852
10,0.7381094694137573,0.7084524035453796,0.5489795207977295,-0.7084524035453796,0.742914080619812,0.7048682570457458,0.5451536178588867,-0.7048682570457458
11,0.7402864694595337,0.7116056084632874,0.5527136325836182,-0.7116056084632874,0.7540130615234375,0.7018711566925049,0.5413174033164978,-0.7018711566925049
12,0.7466167211532593,0.715973436832428,0.5580882430076599,-0.715973436832428,0.7213826775550842,0.7096094489097595,0.550683856010437,-0.7096095681190491
13,0.7519432306289673,0.7201827168464661,0.5630789995193481,-0.7201827168464661,0.7426648736000061,0.7189953327178955,0.5620683431625366,-0.7189955115318298
14,0.755849301815033,0.7240804433822632,0.5678649544715881,-0.7240804433822632,0.7530503273010254,0.72377610206604,0.5679986476898193,-0.7237761616706848
15,0.7609649300575256,0.7292483448982239,0.5741622447967529,-0.7292483448982239,0.762486457824707,0.7273641228675842,0.5721699595451355,-0.7273640036582947
16,0.7628392577171326,0.7302163243293762,0.5755689144134521,-0.7302163243293762,0.766481339931488,0.7287003397941589,0.5740444660186768,-0.7287003993988037
17,0.7675326466560364,0.7352145910263062,0.581729531288147,-0.7352145910263062,0.7534746527671814,0.7297956347465515,0.5751942992210388,-0.7297957539558411
18,0.7638348937034607,0.7316494584083557,0.5773130655288696,-0.7316494584083557,0.7747329473495483,0.7271168828010559,0.5716804265975952,-0.7271168828010559
19,0.7662959098815918,0.7344483733177185,0.580691933631897,-0.7344483733177185,0.7727735042572021,0.7355802059173584,0.5821459293365479,-0.7355802655220032
20,0.7706283926963806,0.7374884486198425,0.5845431089401245,-0.7374884486198425,0.7785710692405701,0.7341007590293884,0.5804523229598999,-0.7341006994247437
21,0.7720503807067871,0.7397509217262268,0.5873144865036011,-0.7397509217262268,0.7680874466896057,0.7383508682250977,0.5856504440307617,-0.7383509278297424
22,0.7743932604789734,0.741659939289093,0.5897812247276306,-0.741659939289093,0.76723313331604,0.7390394806861877,0.5867039561271667,-0.739039421081543
23,0.7750547528266907,0.7424745559692383,0.5908061861991882,-0.7424745559692383,0.7717056274414062,0.7405911087989807,0.5884603261947632,-0.7405909895896912
24,0.7750691771507263,0.7419130206108093,0.5900517702102661,-0.7419130206108093,0.7676013708114624,0.7391798496246338,0.5868812203407288,-0.7391797304153442
25,0.7722662091255188,0.7394008040428162,0.5870761275291443,-0.7394008040428162,0.7675871253013611,0.7389475107192993,0.5864054560661316,-0.7389473915100098
26,0.7736842632293701,0.7412532567977905,0.5893301367759705,-0.7412532567977905,0.7854868769645691,0.7276672124862671,0.5723068714141846,-0.7276673913002014
27,0.7753487229347229,0.7425800561904907,0.5908704400062561,-0.7425800561904907,0.7474417686462402,0.7320336103439331,0.5778535008430481,-0.7320335507392883
28,0.7781713604927063,0.7459319233894348,0.5951671600341797,-0.7459319233894348,0.7865655422210693,0.7420827150344849,0.590221643447876,-0.7420828938484192
