epoch,binary_accuracy,dice_coef,iou,loss,val_binary_accuracy,val_dice_coef,val_iou,val_loss
0,0.4076489508152008,0.5776852369308472,0.40681779384613037,-0.5776852369308472,0.4090155363082886,0.5802054405212402,0.4096479117870331,-0.5802053809165955
1,0.4826326370239258,0.6102346777915955,0.4425511956214905,-0.6102346777915955,0.8064829707145691,0.7791922092437744,0.638953685760498,-0.7791922092437744
2,0.8491612672805786,0.8209474086761475,0.6979464292526245,-0.8209474086761475,0.880626916885376,0.8613125681877136,0.7570181488990784,-0.8613124489784241
3,0.9036074876785278,0.8813914656639099,0.7882530689239502,-0.8813914656639099,0.9164486527442932,0.8979160785675049,0.8150057196617126,-0.897916316986084
4,0.9228752255439758,0.9050232768058777,0.8267068862915039,-0.9050232768058777,0.9266842603683472,0.9094979166984558,0.8344025611877441,-0.9094977378845215
5,0.9309532046318054,0.9149498343467712,0.8434239625930786,-0.9149498343467712,0.9315299391746521,0.9145936965942383,0.8429253101348877,-0.9145938158035278
6,0.9378238916397095,0.9234899282455444,0.8579937815666199,-0.9234899282455444,0.9336537718772888,0.9182924628257751,0.8491193652153015,-0.9182924628257751
7,0.9428364634513855,0.9297308325767517,0.8688316941261292,-0.9297308325767517,0.9360244870185852,0.9196627140045166,0.8515861630439758,-0.9196628332138062
8,0.9468005895614624,0.9344756603240967,0.8771160244941711,-0.9344756603240967,0.9382699131965637,0.92308509349823,0.857428789138794,-0.9230850338935852
9,0.9501969814300537,0.9386729598045349,0.8845495581626892,-0.9386729598045349,0.9404101967811584,0.9266929626464844,0.8636908531188965,-0.9266930222511292
10,0.9532760381698608,0.9424154162406921,0.8911911845207214,-0.9424154162406921,0.9416421055793762,0.9286129474639893,0.8669912815093994,-0.9286129474639893
11,0.9552469849586487,0.9449222087860107,0.8956733345985413,-0.9449222087860107,0.940716028213501,0.9282300472259521,0.8663092255592346,-0.9282301068305969
12,0.9571247696876526,0.9472281336784363,0.8998180031776428,-0.9472281336784363,0.943000853061676,0.930567741394043,0.8703968524932861,-0.9305678606033325
13,0.9593817591667175,0.9500843286514282,0.9049680233001709,-0.9500843286514282,0.9448875188827515,0.9319261908531189,0.8727633953094482,-0.9319261908531189
14,0.9608482718467712,0.9517791271209717,0.9080817699432373,-0.9517791271209717,0.9443471431732178,0.9316864013671875,0.8723113536834717,-0.9316863417625427
15,0.9622114896774292,0.9534206390380859,0.9110593199729919,-0.9534206390380859,0.9452390670776367,0.9327971935272217,0.8743204474449158,-0.9327970743179321
16,0.9638427495956421,0.9554757475852966,0.9148094654083252,-0.9554757475852966,0.9449484944343567,0.9324223399162292,0.8736949563026428,-0.9324224591255188
17,0.9647916555404663,0.9567744135856628,0.917176365852356,-0.9567744135856628,0.9453423619270325,0.9336355924606323,0.8758084774017334,-0.9336357712745667
18,0.9655476212501526,0.9576320052146912,0.9187473058700562,-0.9576320052146912,0.9450938701629639,0.9333903193473816,0.8753607869148254,-0.9333903193473816
19,0.9662808179855347,0.9585835337638855,0.920497715473175,-0.9585835337638855,0.9458234310150146,0.933624804019928,0.8757808208465576,-0.9336249232292175
20,0.9670091867446899,0.9594740867614746,0.922173261642456,-0.9594740867614746,0.9467499852180481,0.9344028830528259,0.8772323131561279,-0.9344028234481812
21,0.968428909778595,0.9612337350845337,0.9254046082496643,-0.9612337350845337,0.9456377029418945,0.9332506656646729,0.8751556873321533,-0.9332506060600281
22,0.9692327380180359,0.9622006416320801,0.9271882176399231,-0.9622006416320801,0.9461565017700195,0.9338185787200928,0.8761837482452393,-0.9338188171386719
23,0.9696804285049438,0.9628282785415649,0.9283460378646851,-0.9628282785415649,0.9460951685905457,0.9336550235748291,0.8757508993148804,-0.9336550235748291
24,0.9702177047729492,0.9634932279586792,0.9295854568481445,-0.9634932279586792,0.945696234703064,0.9342563152313232,0.8768457174301147,-0.9342564940452576
25,0.9706684350967407,0.9639919400215149,0.9305185675621033,-0.9639919400215149,0.9457418918609619,0.9329857230186462,0.8745530247688293,-0.932985782623291
26,0.9715348482131958,0.9650740623474121,0.9325278401374817,-0.9650740623474121,0.9458365440368652,0.9337384104728699,0.8759602308273315,-0.9337381720542908
27,0.9722234606742859,0.965875506401062,0.9340432286262512,-0.965875506401062,0.9449545741081238,0.9323263168334961,0.8734477758407593,-0.9323263168334961
28,0.9724559783935547,0.9661232829093933,0.9344980120658875,-0.9661232829093933,0.9460805058479309,0.9340241551399231,0.8765009045600891,-0.9340242147445679
29,0.9731693863868713,0.9669739007949829,0.9360879063606262,-0.9669739007949829,0.9457292556762695,0.9328734278678894,0.8744785189628601,-0.9328733682632446
30,0.9735095500946045,0.967477560043335,0.9370242953300476,-0.967477560043335,0.9466644525527954,0.9346320033073425,0.8775432109832764,-0.9346321821212769
31,0.9739537835121155,0.9679733514785767,0.9379619359970093,-0.9679733514785767,0.9462046027183533,0.9348236918449402,0.8778245449066162,-0.9348236918449402
32,0.9743012189865112,0.9684478044509888,0.9388455152511597,-0.9684478044509888,0.9465162754058838,0.9345290660858154,0.8774003386497498,-0.9345290064811707
33,0.9747495651245117,0.9689681529998779,0.9398254156112671,-0.9689681529998779,0.9463980197906494,0.9340770244598389,0.8764901757240295,-0.9340771436691284
34,0.9752593040466309,0.9696906208992004,0.9411848783493042,-0.9696906208992004,0.9461105465888977,0.9338545203208923,0.8761746287345886,-0.9338545203208923
35,0.975641667842865,0.970072865486145,0.9419065713882446,-0.970072865486145,0.9460203647613525,0.9335869550704956,0.8755694031715393,-0.9335870742797852
36,0.9758551716804504,0.97034752368927,0.9424221515655518,-0.97034752368927,0.9457075595855713,0.9340556263923645,0.8764799237251282,-0.9340553283691406
37,0.9758683443069458,0.9703794717788696,0.94247967004776,-0.9703794717788696,0.946308970451355,0.933645486831665,0.8757895827293396,-0.933645486831665
38,0.9764290452003479,0.9710724353790283,0.943786084651947,-0.9710724353790283,0.94590824842453,0.9338764548301697,0.8761794567108154,-0.933876633644104
39,0.9766185879707336,0.971243679523468,0.9441124796867371,-0.971243679523468,0.94488525390625,0.9323650002479553,0.8735448718070984,-0.9323651790618896
40,0.9769157767295837,0.9716447591781616,0.9448720812797546,-0.9716447591781616,0.9451868534088135,0.933185875415802,0.8748942613601685,-0.9331858158111572
41,0.9771894216537476,0.9719387292861938,0.9454255104064941,-0.9719387292861938,0.9456823468208313,0.9332669377326965,0.8752129077911377,-0.9332668781280518
42,0.9774999022483826,0.9723592400550842,0.946219265460968,-0.9723592400550842,0.9459841251373291,0.9337460994720459,0.8759191036224365,-0.9337459802627563
43,0.9774396419525146,0.9722867012023926,0.9460783004760742,-0.9722867012023926,0.9454765915870667,0.9331458210945129,0.8748531341552734,-0.9331458210945129
44,0.977753221988678,0.9726275205612183,0.9467297792434692,-0.9726275205612183,0.9456942081451416,0.9334765672683716,0.8755781650543213,-0.9334765076637268
45,0.9781540632247925,0.9731548428535461,0.9477264881134033,-0.9731548428535461,0.9458770751953125,0.9335741400718689,0.8756888508796692,-0.9335739016532898
46,0.9788011312484741,0.9739671945571899,0.9492653012275696,-0.9739671945571899,0.9461029767990112,0.9345300197601318,0.8773403763771057,-0.9345300197601318
47,0.9789907336235046,0.9741870164871216,0.9496843814849854,-0.9741870164871216,0.94505375623703,0.9332309365272522,0.8750479221343994,-0.9332311153411865
48,0.9789460897445679,0.9741368889808655,0.9495903849601746,-0.9741368889808655,0.9462961554527283,0.9342175722122192,0.8767821788787842,-0.9342175126075745
49,0.9793354272842407,0.9746366739273071,0.9505361914634705,-0.9746366739273071,0.9451768398284912,0.932820200920105,0.8742638230323792,-0.9328201413154602
